Iteration: 338
[0.04444475] [0.07755088] [0.11025649] [0.14495342] [0.18874502] [0.24102145] [0.29946066] [0.36374753] [0.42893834] [0.52813228] [0.66972669] [0.80673398] [0.9330813] [1.08926977] [1.37000429] [1.85152585] [2.73065926] [3.9723732] [6.00833989] [8.58610486] [0.15036702] 
[0.04222251] [0.07367334] [0.10474367] [0.13770575] [0.17930776] [0.22897037] [0.28448762] [0.34556016] [0.40749142] [0.50172567] [0.63624036] [0.76639728] [0.88642723] [1.03480628] [1.30150408] [1.75894956] [2.5941263] [3.77375454] [5.70792289] [8.15679962] [0.14284867] 
[0.04011139] [0.06998967] [0.09950648] [0.13082046] [0.17034238] [0.21752186] [0.27026324] [0.32828215] [0.38711685] [0.47663938] [0.60442834] [0.72807741] [0.84210587] [0.98306597] [1.23642888] [1.67100208] [2.46441998] [3.58506681] [5.42252675] [7.74895964] [0.13570624] 
[0.03810582] [0.06649019] [0.09453116] [0.12427944] [0.16182526] [0.20664576] [0.25675008] [0.31186804] [0.36776101] [0.45280741] [0.57420692] [0.69167354] [0.80000058] [0.93391267] [1.17460743] [1.58745197] [2.34119898] [3.40581347] [5.15140041] [7.36151166] [0.12892092] 
[0.03620053] [0.06316568] [0.0898046] [0.11806547] [0.15373399] [0.19631348] [0.24391258] [0.29627464] [0.34937296] [0.43016704] [0.54549658] [0.65708987] [0.76000055] [0.88721704] [1.11587706] [1.50807938] [2.22413903] [3.2355228] [4.89383039] [6.99343607] [0.12247488] 
[0.0343905] [0.0600074] [0.08531437] [0.11216219] [0.14604729] [0.1864978] [0.23171695] [0.28146091] [0.33190431] [0.40865869] [0.51822175] [0.62423537] [0.72200052] [0.84285619] [1.06008321] [1.43267541] [2.11293208] [3.07374666] [4.64913887] [6.64376427] [0.11635113] 
[0.03267098] [0.05700703] [0.08104865] [0.10655408] [0.13874493] [0.17717291] [0.2201311] [0.26738786] [0.3153091] [0.38822576] [0.49231066] [0.5930236] [0.6859005] [0.80071338] [1.00707905] [1.36104164] [2.00728548] [2.92005932] [4.41668193] [6.31157606] [0.11053358] 
[0.03103743] [0.05415668] [0.07699622] [0.10122638] [0.13180768] [0.16831427] [0.20912455] [0.25401847] [0.29954364] [0.36881447] [0.46769513] [0.56337242] [0.65160547] [0.76067771] [0.95672509] [1.29298955] [1.9069212] [2.77405636] [4.19584783] [5.99599725] [0.1050069] 
[0.02948556] [0.05144884] [0.07314641] [0.09616506] [0.1252173] [0.15989855] [0.19866832] [0.24131754] [0.28456646] [0.35037375] [0.44431037] [0.5352038] [0.6190252] [0.72264382] [0.90888884] [1.22834008] [1.81157514] [2.63535354] [3.98605544] [5.69619739] [0.09975655] 
[0.02801128] [0.0488764] [0.06948909] [0.09135681] [0.11895643] [0.15190362] [0.1887349] [0.22925167] [0.27033814] [0.33285506] [0.42209485] [0.50844361] [0.58807394] [0.68651163] [0.8634444] [1.16692307] [1.72099639] [2.50358586] [3.78675267] [5.41138752] [0.09476873] 
[0.02661071] [0.04643258] [0.06601464] [0.08678897] [0.11300861] [0.14430844] [0.17929816] [0.21778908] [0.25682123] [0.3162123] [0.40099011] [0.48302143] [0.55867024] [0.65218605] [0.82027218] [1.10857692] [1.63494657] [2.37840657] [3.59741503] [5.14081815] [0.09003029] 
[0.02528018] [0.04411095] [0.0627139] [0.08244952] [0.10735818] [0.13709302] [0.17033325] [0.20689963] [0.24398017] [0.30040169] [0.3809406] [0.45887036] [0.53073673] [0.61957675] [0.77925857] [1.05314807] [1.55319924] [2.25948624] [3.41754428] [4.88377724] [0.08552878] 
[0.02401617] [0.0419054] [0.05957821] [0.07832704] [0.10199027] [0.13023837] [0.16181659] [0.19655465] [0.23178116] [0.28538161] [0.36189357] [0.43592684] [0.50419989] [0.58859791] [0.74029564] [1.00049067] [1.47553928] [2.14651193] [3.24666707] [4.63958838] [0.08125234] 
[0.02281536] [0.03981013] [0.0565993] [0.07441069] [0.09689076] [0.12372645] [0.15372576] [0.18672692] [0.2201921] [0.27111252] [0.34379889] [0.4141305] [0.4789899] [0.55916801] [0.70328086] [0.95046614] [1.40176231] [2.03918633] [3.08433371] [4.40760896] [0.07718972] 
[0.07103791] [0.16450009] [0.25396475] [0.35649347] [0.48550107] [0.61790368] [0.73660662] [0.85636556] [0.9337442] [1.02946197] [1.17390821] [1.2995947] [1.4422115] [1.65369354] [1.95478426] [2.31924398] [2.91514691] [3.7347931] [20.60526046] [26.41570928] [0.44876817] 
[0.06748601] [0.15627508] [0.24126651] [0.33866879] [0.46122601] [0.58700849] [0.69977629] [0.81354728] [0.88705699] [0.97798887] [1.1152128] [1.23461497] [1.37010092] [1.57100887] [1.85704504] [2.20328179] [2.76938957] [3.54805345] [19.57499743] [25.09492381] [0.42632976] 
[0.06411171] [0.14846133] [0.22920319] [0.32173535] [0.43816471] [0.55765807] [0.66478748] [0.77286992] [0.84270414] [0.92908943] [1.05945216] [1.17288422] [1.30159588] [1.49245842] [1.76419279] [2.0931177] [2.63092009] [3.37065078] [18.59624756] [23.84017762] [0.40501327] 
[0.06090613] [0.14103826] [0.21774303] [0.30564859] [0.41625648] [0.52977517] [0.6315481] [0.73422642] [0.80056893] [0.88263496] [1.00647955] [1.11424001] [1.23651608] [1.4178355] [1.67598315] [1.98846181] [2.49937408] [3.20211824] [17.66643518] [22.64816874] [0.38476261] 
